IdEmpresa,Empresa,CodEmpresa,Cuenta,Medidor_ARCONEL,INER_IDE_GEOG,IdProvincia,Provincia,IdCanton,Canton,IdParroquia,Parroquia,NombreAbonado,TIPO,UbicacionAbonado,NUMMEDIDOR_ARCONEL_GEO,COORD_X,COORD_Y,No_de_edificio,INERGY,link
26,CNEL-Guayaquil,GYE,1082536-9,1483702-ITR-AT,1483702,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,CNT EP,TEL,PEDRO CARBO  0305 P.ICAZA-SERV.GRAL. 1  .,1483702,624463.4069,9757790.397,357,GYE-TEL-357-14837,https://www.google.com/maps/@-2.1907798-79.88088143a90y121.58h129.02t/data=!3m6!1e1!3m4!1sg2i599_uYMGBB2RBpn9uvg!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,575293-0,1138491-ITR-TC,1138491,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,COMISION DE TRANSITO DEL ECUADOR,EDF,CHILE  1710 CUENCA 1  .,1138491,623959.6964,9756370.977,358,GYE-EDF-358-11384,https://www.google.com/maps/@-2.2037126-79.88498013a80.6y307.33h116.08t/data=!3m6!1e1!3m4!1sAaig_RJle4AUm1v2oWXVQQ!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,1620760-8,1137404-ITR-AT,1137404,0,GUAYAS,0,GUAYAQUIL,0,TARQUI,CONSEJO NACIONAL ELECTORAL DELEGACION PROVINCIAL,EDF,AV. DEMOCRACIA   AV.PEDRO MENENDEZ 1  ,1137404,623805.0303,9759363.886,359,GYE-EDF-359-11374,https://www.google.com/maps/@-2.1768229-79.88710743a21.5y79.03h91.31t/data=!3m6!1e1!3m4!1sb5xlpWZhil7R7ijjiLGXdA!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,1022354-7,1140203-ITR-AT,1140203,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,CONSEJO NACIONAL ELECTORAL DELEGACION PROVINCIAL D,EDF,AV. DEMOCRACIA  L.P. AV. PEDRO MENENDEZ G 1  .,1140203,623807.3481,9759357.386,359,GYE-EDF-359-11402,https://www.google.com/maps/@-2.1768229-79.88710743a21.5y79.03h91.31t/data=!3m6!1e1!3m4!1sb5xlpWZhil7R7ijjiLGXdA!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,1459676-3,1139279-ITR-AT,1139279,0,GUAYAS,0,GUAYAQUIL,0,TARQUI,CONTRALORIA GENERAL DEL ESTADO,EDF,AV. FCO DE ORELLANA   FTE. SAN MARINO 1  .,1139279,622590.0823,9760090.511,360,GYE-EDF-360-11392,https://www.google.com/maps/@-2.1705306-79.89832133a72.5y65.59h101.25t/data=!3m6!1e1!3m4!1sZu2R6LScfCGNnZvI5z4GfA!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,575357-0,1138778-ITR-TC,1138778,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,COORDINACION ZONAL 8 - INEC,EDF,HURTADO  1001 LIZARDO GARCIA 1  .,1138778,622685.2138,9758081.273,361,GYE-EDF-361-11387,https://www.google.com/maps/@-2.1880448-79.89667620a100.5y206.31h102.33t/data=!3m4!1e1!3m2!1spaud8Y8g4fGjrkpAe-439w!2e0?source=apiv3
26,CNEL-Guayaquil,GYE,505051-0,1137686-ITR-TC,1137686,0,GUAYAS,0,GUAYAQUIL,0,TARQUI,COORDINACION ZONAL 8 - INMOBILIAR,EDF,MZ#106SOL#142330   AV. FCO. ORELLANA 1  KENNEDY NORTE,1137686,622580.7458,9761013.581,362,GYE-EDF-362-11376,https://www.google.com/maps/@-2.1621673-79.89808320a76.1y58.74h108.67t/data=!3m4!1e1!3m2!1sNTTBSUm9colv6Eaz37c5Ig!2e0?source=apiv3
26,CNEL-Guayaquil,GYE,971352-2,1208254-ITR-OC,1208254,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,CORDINACION ZONAL 8 DE REGISTRO CIVIL IDENTIFICAC,EDF,AV.9 DE OCTUIBRE  0203 CONSUMO GENERAL 1  .,1208254,624471.6763,9757638.163,363,GYE-EDF-363-12082,https://www.google.com/maps/@-2.1921414-79.88057953a90y198.8h119.98t/data=!3m6!1e1!3m4!1svIqaHNTpGRl6LfECDOFDTA!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,1146809-8,1483698-ITR-AT,1483698,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,CORDINACION ZONAL 8 DE REGISTRO CIVIL IDENTIFICAC,EDF,AV. 9 DE OCTUBRE  L.I PICHINCHA 1  EDIF.REGISTRO,1483698,624482.0555,9757625.166,363,GYE-EDF-363-14836,https://www.google.com/maps/@-2.1923998-79.88043993a60y268.65h140.13t/data=!3m6!1e1!3m4!1sDwlP0ql9ID7og1JYVjlt3w!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,575759-2,1208340-ITR-OC,1208340,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,CORDINACION ZONAL 8 DE REGISTRO CIVIL IDENTIFICAC,EDF,AV.25 DE JULIO   1RA.ENT.A C.ESTEROS 1  .,1208340,622711.7385,9752047.522,364,GYE-EDF-364-12083,https://www.google.com/maps/@-2.2434683-79.89582013a53.1y270.36h95.17t/data=!3m6!1e1!3m4!1sbbsvGLyXKJTO6dAl6a6N_Q!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,1261129-3,1139285-ITR-TC,1139285,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,CORDINACION ZONAL 8 DE REGISTRO CIVIL IDENTIFICAC,EDF,CALLE 24NO Y AV.42 N   ATRAS C.C.CALIFORNIA 1  LOT.INMACONSA,1139285,617805.6063,9767807.316,365,GYE-EDF-365-11392,https://www.google.com/maps/@-2.1008807-79.94049723a48.2y2.24h92.27t/data=!3m6!1e1!3m4!1szP59NAPvn8mpaDFBqA_4Pw!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,575704-5,1137857-ITR-TC,1137857,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,CORPORACION FINANCIERA NACIONAL B.P.,EDF,AV.9 DE OCTUBRE   PICHINCHA 1  .,1137857,624494.5698,9757666.418,366,GYE-EDF-366-11378,https://www.google.com/maps/@-2.1921596-79.88037073a90y342.84h122.48t/data=!3m6!1e1!3m4!1sUql5VO8xNSa1QYmSaqFKTA!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,633012-6,1137887-ITR-AT,1137887,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,DIRECCION CULTURAL DE GUAYAQUIL,DESC,AV.DE LAS AMERICAS  0317 . 1  .,1137887,623108.6635,9760683.378,367,GYE-DESC-367-11378,https://www.google.com/maps/@-2.1650393-79.8921773a90y269.46h86.75t/data=!3m6!1e1!3m4!1sLgIKpLWPezdDbbjaRbGEww!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,654562-9,1268255-ITR-AT,1268255,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,DIRECCION CULTURAL DE GUAYAQUIL,EDF,MALEC.SIMON BOLIVAR  L.I SUBSECTOR VII 1  MALECON 2000,1268255,624954.0828,9758404.13,368,GYE-EDF-368-12682,https://www.google.com/maps/@-2.1853901-79.87670413a83.9y103.15h85.55t/data=!3m6!1e1!3m4!1srsFSv6GXY7CeBsDoDtU4VA!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,576224-3,1137898-ITR-AT,1137898,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,DIRECCION DE MOVILIZACION DEL COMANDO CONJUNTO DE,EDF,AV.MENENDEZ GILBERT   CONSUMO GENERAL 1  .,1137898,623844.6475,9759121.322,369,GYE-EDF-369-11378,https://www.google.com/maps/@-2.1794642-79.88666023a75y330.77h97.69t/data=!3m6!1e1!3m4!1sqkaLArLZ7ANY3vnGlPmJwg!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,1133951-4,1140592-ITR-DP,1140592,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,DIRECCION DE MOVILIZACION DEL COMANDO CONJUNTO DE,EDF,AV.PEDRO MENENDEZ  S-N AV. DEMOCRACIA 1  .,1140592,623844.6475,9759121.322,369,GYE-EDF-369-11405,https://www.google.com/maps/@-2.1794642-79.88666023a75y330.77h97.69t/data=!3m6!1e1!3m4!1sqkaLArLZ7ANY3vnGlPmJwg!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,1397662-7,1269273-ITR-AT,1269273,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,DIRECCION DISTRITAL 09D01-XIMENA1-PARROQUIA RURAL,EDF,AV.DOMINGO COMIN  S-N COL.PROV.COTOPAXI 1  CENTRO DISTRITAL,1269273,623079.5536,9749818.287,370,GYE-EDF-370-12692,https://www.google.com/maps/@-2.2634652-79.8928820a42.9y321.44h90.77t/data=!3m4!1e1!3m2!1sV5PraYkiEykPA4ArstkDsg!2e0?source=apiv3
26,CNEL-Guayaquil,GYE,510588-9,1139167-ITR-AT,1139167,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,DIRECCION DISTRITAL 09D03 G. MORENO A ROCA - MIES,MIES,ILLINGWORTH  0112 PICHINCHA 1  .,1139167,624506.5465,9757522.127,371,GYE-MIES-371-11391,https://www.google.com/maps/@-2.1935499-79.88031260a112.6y24.57h119.33t/data=!3m4!1e1!3m2!1sil1n9cXqaxHErAEHD8QZ7g!2e0?source=apiv3
26,CNEL-Guayaquil,GYE,575047-4,1139149-ITR-TB,1139149,0,GUAYAS,0,GUAYAQUIL,0,CARBO (CONCEPCI?ôN),DIRECCION PROVINCIAL AGROPECUARIA DEL GUAYAS,EDF,M.SIMON BOLIVAR  0301 J.MONTALVO-OFIC# 1  .,1139149,624835.4448,9758297.203,372,GYE-EDF-372-11391,https://www.google.com/maps/@-2.1862847-79.87719683a75y262.27h110.93t/data=!3m6!1e1!3m4!1sboEMi7mUM3dO2m1AQEkUCA!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,575506-9,1138047-ITR-TC,1138047,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA,EDF,AV. QUITO  0903 AV.9 DE OCTUBRE-VELE 1  .,1138047,623542.9785,9757893.211,373,GYE-EDF-373-11380,https://www.google.com/maps/@-2.1896687-79.88923013a84.4y111.09h110.66t/data=!3m6!1e1!3m4!1sFK36IprKjN0vzMzDBbc6Zg!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,1416594-0,1268454-ITR-TC,1268454,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA,EDF,AV.25 DE JULIO   CALLE 50 1  JTO BLOQUES VALDIVIA,1268454,622892.0433,9751953,374,GYE-EDF-374-12684,https://www.google.com/maps/@-2.2442731-79.89529043a75y63.51h98.19t/data=!3m6!1e1!3m4!1s1AYXQs1IXMWlu5XoNxQCig!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,621927-6,1139088-ITR-AT,1139088,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA,DESC,PEDRO MONCAYO  0934 AV.9 DE OCTUBRE 1  .,1139088,623566.8835,9757875.064,375,GYE-DESC-375-11390,https://www.google.com/maps/@-2.1903966-79.88832373a57.5y295.03h111.59t/data=!3m6!1e1!3m4!1s8RCHxQ3pUjPh08E35N6puA!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,1416118-K,1137997-ITR-TC,1137997,0,GUAYAS,0,GUAYAQUIL,0,AYACUCHO,DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA,EDF,VIA A DAULE  KM 8-6 AV.LA FLORIDA 1  EX RESIDENCIA ISAIAS,1137997,618384,9764790,376,GYE-EDF-376-11379,https://www.google.com/maps/@-2.1272732-79.93509143a87.9y155.21h88.46t/data=!3m6!1e1!3m4!1snOEVb9iYcaCSiY8QuBr13Q!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,917130-4,1137875-ITR-AT,1137875,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,DISTRITO EDUCACTIVO INTERCULTURAL Y BILINGUE 09D03,EDU,GENERAL CORDOVA  1030 NUEVE DE OCTUBRE 1  .,1137875,624363.6184,9757730.697,377,GYE-EDU-377-11378,https://www.google.com/maps/@-2.1914474-79.8815673a90y295.21h121.38t/data=!3m6!1e1!3m4!1sOP8cV2SeZaiVrfWEm1i4GA!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,638247-9,1139023-ITR-TC,1139023,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,DISTRITO METROPOLITANO DE GUAYAQUIL,EDF,AV LAS AMERICAS  L.P. FTE.A CDLA.MODELO 1  CUART.MODELO,1139023,623049.9828,9759403.258,378,GYE-EDF-378-11390,https://www.google.com/maps/@-2.1762895-79.89199173a90y262.82h100.48t/data=!3m6!1e1!3m4!1sOvCc5XzZvu_y52a4zqBbuQ!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,575348-1,1268363-ITR-AT,1268363,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,GOBIERNO AUT NOMO DESCENTRALIZADO MUNICIPAL DE GUA,EDF,10 DE AGOSTO  0114 MALECON-PICHINCHA 1  .,1268363,624440.639,9757289.761,379,GYE-EDF-379-12683,https://www.google.com/maps/@-2.1956479-79.88098313a90y23.74h105.16t/data=!3m6!1e1!3m4!1s61vqkE0nK3ffdbyMBmT5EQ!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,1279299-9,1204419-ELS-TA,1204419,0,GUAYAS,0,GUAYAQUIL,0,TARQUI,EMPRESA PUBLICA MEDIOS PUBLICOS DE COMUNICACION DE,EDF,AV. C. J. AROSEMENA  KM 1.5 FTE. A SICAFE 1  EDIF. EDITOGRAN,1204419,621310,9759192,380,GYE-EDF-380-12044,https://www.google.com/maps/@-2.1777996-79.91033753a79.1y65.81h95.19t/data=!3m6!1e1!3m4!1s-otPTZxNTYldgub909diig!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,1398778-5,1137966-ITR-TB,1137966,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,MINISTERIO DEL TRABAJO REGIONAL 2 LITORAL Y GALA,EDF,AV. QUITO  713 1RO. DE MAYO 1  .,1137966,623584.4781,9758060.952,381,GYE-EDF-381-11379,
26,CNEL-Guayaquil,GYE,575630-8,1138535-ITR-OC,1138535,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,SERVICIO NACIONAL DE ADUANA DEL ECUADOR,EDF,AV.25 DE JULIO   DIAG.A LAS EXCLUSAS 1  PUERTO MARITIMO,1138535,622826.4641,9750193.767,382,GYE-EDF-382-11385,https://www.google.com/maps/@-2.2597798-79.89532783a76.9y311.59h101.77t/data=!3m6!1e1!3m4!1sflSIGmXeSvbCcoY7PQYLLg!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,1034153-1,886010-ELS-AT,886010,0,GUAYAS,0,GUAYAQUIL,0,NUEVE DE OCTUBRE,INSTITUTO DE FOMENTO AL TALENTO HUMANO,EDF,AV.9 DE OCTUBRE  2311 TUNGURAHUA-LIZARDO G 1  ,886010,622696.6963,9758196.53,383,GYE-EDF-383-88601,
26,CNEL-Guayaquil,GYE,1035655-5,708430-ABB-AT,708430,0,GUAYAS,0,GUAYAQUIL,0,NUEVE DE OCTUBRE,INSTITUTO DE FOMENTO AL TALENTO HUMANO,EDF,AV.9 DE OCTUBRE  2311 TUNGURAHUA-L.GARCIA 1  ,708430,622696.6963,9758196.53,383,GYE-EDF-383-70843,
26,CNEL-Guayaquil,GYE,982433-2,1139198-ITR-TB,1139198,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,FISCALIA DEL GUAYAS,EDF,AV.9 DE OCTUBRE  L.P.  JOSE DE ANTEPARA 1  .,1139198,623347.2489,9757986.189,384,GYE-EDF-384-11391,https://www.google.com/maps/@-2.1891657-79.89070453a89.9y305.43h114.93t/data=!3m6!1e1!3m4!1s3JEVTQSgyjdd8FfzbfMBDA!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,576296-0,1137730-ITR-OC,1137730,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,INSTITUTO NACIONAL DE INVESTIGACION EN SALUD PUBLI,EDF,AV.DE LAS AMERICAS   . 1  .,1137730,623148.2365,9760802.119,385,GYE-EDF-385-11377,
26,CNEL-Guayaquil,GYE,576225-1,1138992-ITR-OC,1138992,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,H.TRIBUNAL SUPREMO ELECTORAL,DESC,AV.P.MOLINA  0106 AV.P.MENEDEZ GILBERT 1  .,1138992,623805.0303,9759363.945,386,GYE-DESC-386-11389,
26,CNEL-Guayaquil,GYE,910884-K,1137808-ITR-TB,1137808,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,DISTRITO METROPOLITANO DE GUAYAQUIL,EDF,BOYACA  S-N LUIS URDANETA 1  .,1137808,624132.6691,9758097.016,387,GYE-EDF-387-11378,https://www.google.com/maps/@-2.1882725-79.88338663a75y56.67h113.99t/data=!3m6!1e1!3m4!1sp07742gS0gQXbGsOHpTjAA!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,161144-5,1138920-ITR-AT,1138920,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,SERVICIO DE RENTAS INTERNAS,EDF,CHAMBERS  0401 D.COMIN-R.B.DE ICAZA 1  .,1138920,623537,9754561,388,GYE-EDF-388-11389,https://www.google.com/maps/@-2.2201125-79.88886760a45.7y260.06h88.93t/data=!3m4!1e1!3m2!1sKDEzPA9zZZtcFs-i8XSQOw!2e0?source=apiv3
26,CNEL-Guayaquil,GYE,575371-6,1138171-ITR-TB,1138171,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,SUPERINTENDENCIA DE BANCOS,EDF,CHIMBORAZO  0412 C.BALLEN-AGUIRRE 1  .,1138171,624145.1599,9757469.657,389,GYE-EDF-389-11381,https://www.google.com/maps/@-2.1938715-79.88338923a85.6y283.77h119.21t/data=!3m6!1e1!3m4!1s1vEKTDbhjD-p8T4ruOtboQ!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,1469231-2,1137971-ITR-AT,1137971,0,GUAYAS,0,GUAYAQUIL,0,AYACUCHO,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE GUA,EDF,GOMEZ RENDON  601 NOGUCHI 1  ,1137971,623688.0299,9756316,390,GYE-EDF-390-11379,https://www.google.com/maps/@-2.2038574-79.88786313a90y190.83h89.34t/data=!3m6!1e1!3m4!1sTuo2Pt1-rb99WsLe-K3eFQ!2e0!7i13312!8i6656
26,CNEL-Guayaquil,GYE,807025-3,1138753-ITR-TB,1138753,0,GUAYAS,0,GUAYAQUIL,0,XIMENA,GOBIERNO PROVINCIAL DEL GUAYAS,EDF,ILLINGWORTH  0108 MALEC.SIMON BOLIVAR 1  EDIF.EXM.MULLER,1138753,624531.6753,9757522.522,391,GYE-EDF-391-11387,https://www.google.com/maps/@-2.1933553-79.8799633a89.9y284.11h124.48t/data=!3m6!1e1!3m4!1sUuHVxjtSKbcS57Ox_F9HRQ!2e0!7i13312!8i6656
